Feature,VIF
 Pre-tax net Interest Rate,108754697.810331
 Current Liability to Assets,5834898.372208452
 Operating Profit Rate,4646331.71064411
 Current Liabilities/Equity,3549335.0718822936
 Working Capital to Total Assets,3531097.085744544
 Non-industry income and expenditure/revenue,2703924.57661889
 Current Liability to Equity,346965.4960667399
 Gross Profit to Sales,288942.850517146
 Current Liability to Liability,111066.39175706793
 Operating Gross Margin,89912.15219618824
 Current Assets/Total Assets,80311.49320114404
 Current Liabilities/Liability,35515.3249933505
 Net Value Per Share (A),3305.216639935036
 Net Value Per Share (C),3110.4236989816227
 After-tax net Interest Rate,1822.7519848427917
 Realized Sales Gross Margin,1074.8103245161342
 Net Value Per Share (B),720.9879273472711
 Operating profit/Paid-in capital,638.8062111609092
 Operating Profit Per Share (Yuan ¥),636.4562948665085
 Liability to Equity,465.0621161810443
 Continuous interest rate (after tax),338.16101855911563
 After-tax Net Profit Growth Rate,133.57024064661323
 Regular Net Profit Growth Rate,132.7688879145566
 ROA(B) before interest and depreciation after tax,102.85278309619844
 Working capitcal Turnover Rate,86.73743309452018
 ROA(C) before interest and depreciation before interest,68.9275016294833
 Equity to Long-term Liability,44.986075894255045
 ROA(A) before interest and % after tax,43.59320267665852
 Working Capital/Equity,43.003304953285266
 Borrowing dependency,37.472628229056276
 Inventory and accounts receivable/Net value,36.03808406267551
 Persistent EPS in the Last Four Seasons,31.99629154980844
 Net profit before tax/Paid-in capital,30.089518532932555
 Net Income to Total Assets,29.100716254422807
 Cash Flow to Sales,26.573650916235664
 Per Share Net profit before tax (Yuan ¥),21.72556189547261
 Contingent liabilities/Net worth,9.12152016237478
 Operating Funds to Liability,8.626846304468947
 Net Income to Stockholder's Equity,8.351109647914425
 Cash flow rate,7.565446065221896
 CFO to Assets,7.480808602030873
 Net Worth Turnover Rate (times),6.387556843250668
 Total Asset Turnover,5.904548587230764
 Quick Assets/Total Assets,4.864772851482113
 Cash Flow to Total Assets,4.637765743578431
 Revenue Per Share (Yuan ¥),4.36246068015533
 Cash Flow Per Share,4.188085820978847
 Retained Earnings to Total Assets,3.8016970560108954
 Cash Reinvestment %,3.64886604018545
 Total expense/Assets,3.3403283739151988
 Revenue per person,3.3377519111498217
 Cash Flow to Equity,3.281700384413018
 Cash/Total Assets,3.117651789536878
 Current Liability to Current Assets,3.100568177834914
 Equity to Liability,3.0469850716361155
 Cash Flow to Liability,2.819001746369875
 Operating Profit Growth Rate,1.9342991510745198
 Total Asset Return Growth Rate Ratio,1.8269295185642747
 Operating profit per person,1.5990290191216816
 Accounts Receivable Turnover,1.5690620576151213
 Total debt/Total net worth,1.558299001709592
 Current Asset Turnover Rate,1.516593625334037
 Long-term fund suitability ratio (A),1.472251919200025
 Quick Asset Turnover Rate,1.4410745488292487
 Current Ratio,1.3585177628293053
 Total income/Total expense,1.3426281983547723
 Fixed Assets Turnover Frequency,1.3409821820245038
 Tax rate (A),1.3284506126018192
 Average Collection Days,1.3083988807458282
 Operating Expense Rate,1.261838599779862
 Quick Assets/Current Liability,1.2557034288509779
 Fixed Assets to Assets,1.2167652534381674
 Cash Turnover Rate,1.15208810355321
 Allocation rate per person,1.1517965487162114
 Inventory Turnover Rate (times),1.1416373353555167
 Total Asset Growth Rate,1.1255815687445172
 Net Value Growth Rate,1.1247006092600424
 Research and development expense rate,1.0928281197880763
 Total assets to GNP price,1.091997160758149
 Inventory/Working Capital,1.0905120382143905
 Inventory/Current Liability,1.0745868840275117
 Cash/Current Liability,1.0657213932449465
 Quick Ratio,1.0602214887449688
 Interest-bearing debt interest rate,1.0421137589061518
 Realized Sales Gross Profit Growth Rate,1.0395810872645328
 Long-term Liability to Current Assets,1.0300249320207617
 Continuous Net Profit Growth Rate,1.0237573459628075
 No-credit Interval,1.016680144128384
 Interest Expense Ratio,1.009646518806034
 Interest Coverage Ratio (Interest expense to EBIT),1.0084753203000494
 Degree of Financial Leverage (DFL),1.0049788977402172
